               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 146,            0.075864,            0.022537,            0.045447,             0.94422,            0.080357,             0.17295,            0.057944,            0.088856,            0.016911,            0.057706,           0.0064112,           0.0064112,           0.0064112
                 147,            0.073335,            0.025645,            0.044788,             0.77041,            0.097285,              0.3076,            0.072062,            0.082715,            0.015875,            0.053337,           0.0063865,           0.0063865,           0.0063865
                 148,            0.071756,            0.024207,            0.047285,             0.94137,            0.095755,             0.24061,            0.069795,            0.082611,            0.016194,            0.052604,           0.0063618,           0.0063618,           0.0063618
                 149,            0.070905,            0.021652,            0.045598,             0.64827,               0.291,             0.23582,             0.12226,            0.080327,            0.015591,            0.051846,            0.006337,            0.006337,            0.006337
                 150,            0.069964,            0.025849,            0.045074,             0.69872,             0.28571,             0.28878,            0.096815,            0.080831,             0.01546,            0.051848,           0.0063122,           0.0063122,           0.0063122
                 151,             0.06899,            0.024458,            0.045366,             0.57045,             0.33571,             0.31212,             0.14326,            0.081938,             0.01667,            0.052733,           0.0062875,           0.0062875,           0.0062875
                 152,            0.069884,            0.024999,            0.044551,             0.72657,            0.098214,             0.27532,            0.081979,            0.082959,            0.016509,            0.053861,           0.0062628,           0.0062628,           0.0062628
                 153,            0.068868,            0.023644,            0.045945,             0.59813,              0.1837,             0.21224,            0.090806,            0.080667,            0.017033,            0.054113,            0.006238,            0.006238,            0.006238
                 154,            0.068236,            0.022478,            0.043917,             0.89383,              0.0625,            0.018794,           0.0061845,             0.10821,            0.020825,            0.064468,           0.0062132,           0.0062132,           0.0062132
                 155,            0.070627,            0.023681,            0.044527,             0.54562,             0.37143,             0.34192,             0.13819,            0.080442,            0.016199,            0.053225,           0.0061885,           0.0061885,           0.0061885
                 156,            0.069492,            0.023602,            0.044782,              0.4983,             0.27321,             0.23808,             0.12785,            0.084032,            0.017955,            0.052643,           0.0061637,           0.0061637,           0.0061637
                 157,            0.071268,            0.021897,            0.042732,             0.90337,             0.14286,             0.20225,            0.066454,            0.086976,            0.017584,            0.054931,            0.006139,            0.006139,            0.006139
